experiment,participantid,itemid,itemtype,strategy_seen,strategy_text,tag_ann1,subtag_ann1,tag_ann2,subtag_ann2,agree_tag,agree_subtag,tag_both,subtag_both
3,123,42,target simple,2,The previous participant's image is the same aside from the fact that my chosen image is wearing a Scaff but its head is exposed,other_reason,visual_resemblance,other_reason,visual_resemblance,1,1,other_reason,visual_resemblance
3,125,28,target simple,2,same image no hat,unclear,,other_reason,visual_resemblance,0,0,other_reason,visual_resemblance
3,126,30,target simple,2,No hat on head,unclear,,other_reason,visual_resemblance,0,0,other_reason,visual_resemblance
3,128,5,target complex,1,The image of the blue cap is the same direction,other_reason,visual_resemblance,other_reason,visual_resemblance,1,1,other_reason,visual_resemblance
3,130,8,target simple,1,it has no hat,unclear,,other_reason,visual_resemblance,0,0,other_reason,visual_resemblance
3,131,5,target complex,2,The hat is the same direction as the message.,other_reason,visual_resemblance,other_reason,visual_resemblance,1,1,other_reason,visual_resemblance
3,131,8,target simple,1,It shows the monster's face the best.,other_reason,visual_resemblance,other_reason,visual_resemblance,1,1,other_reason,visual_resemblance
3,133,36,target simple,1,Because the head was uncovered and I thought it most similar,other_reason,visual_resemblance,other_reason,visual_resemblance,1,1,other_reason,visual_resemblance
3,134,5,target complex,2,Because of the direction the hat is facing,other_reason,visual_resemblance,other_reason,visual_resemblance,1,1,other_reason,visual_resemblance
3,134,12,target simple,1,Because of the direction of the hat,other_reason,visual_resemblance,other_reason,visual_resemblance,1,1,other_reason,visual_resemblance
3,136,59,target simple,1,Because you can see the hair on this one,other_reason,visual_resemblance,other_reason,visual_resemblance,1,1,other_reason,visual_resemblance
3,137,5,target complex,2,"it also has a blue hat, facing the the same direction",other_reason,visual_resemblance,other_reason,visual_resemblance,1,1,other_reason,visual_resemblance
3,137,18,target simple,1,"There is a blue hat in it, facing the same way",other_reason,visual_resemblance,other_reason,visual_resemblance,1,1,other_reason,visual_resemblance
3,138,28,target simple,2,the right colour with no hat,unclear,,other_reason,visual_resemblance,0,0,other_reason,visual_resemblance
3,139,42,target simple,1,As the clue was the purple alien with no hat on and the one I chose has no hat on,unclear,,other_reason,visual_resemblance,0,0,other_reason,visual_resemblance
1,14,24,target complex,2,the hat is facing right,other_reason,visual_resemblance,other_reason,visual_resemblance,1,1,other_reason,visual_resemblance
3,140,30,target simple,1,you can see the eyes,other_reason,visual_resemblance,other_reason,visual_resemblance,1,1,other_reason,visual_resemblance
3,143,30,target simple,2,"There are two purple creatures, it would have been more helpful if they selected the scarf or the blue hat for me to identify the correct purple creature. But because they didn't, I chose the one you could see the hair of since you can see the hair of the one they selected",other_reason,visual_resemblance,other_reason,visual_resemblance,1,1,other_reason,visual_resemblance
3,144,30,target simple,1,It is the closest to matching the previous picture,other_reason,visual_resemblance,unclear,,0,0,other_reason,visual_resemblance
3,151,26,target simple,2,the cap is facing the same direction,other_reason,visual_resemblance,other_reason,visual_resemblance,1,1,other_reason,visual_resemblance
3,155,30,target simple,1,The creature is not wearing a cap,unclear,,other_reason,visual_resemblance,0,0,other_reason,visual_resemblance
3,156,42,target simple,2,no hat,unclear,,other_reason,visual_resemblance,0,0,other_reason,visual_resemblance
3,159,30,target simple,2,It is the only creature without the cap and it is the only one that resembles the creature on top more than the one wearing a cap.,other_reason,visual_resemblance,other_reason,visual_resemblance,1,1,other_reason,visual_resemblance
3,162,59,target simple,1,it looks most similar to the message from previous participant,other_reason,visual_resemblance,unclear,,0,0,other_reason,visual_resemblance
3,166,36,target simple,1,as its the closest to what the previous person said,other_reason,visual_resemblance,unclear,,0,0,other_reason,visual_resemblance
1,17,40,target simple,2,The cap is facing the correct way,other_reason,visual_resemblance,other_reason,visual_resemblance,1,1,other_reason,visual_resemblance
3,171,2,target complex,1,because it has a red hat on facing the same way as in the picture the previous participant chosen,other_reason,visual_resemblance,other_reason,visual_resemblance,1,1,other_reason,visual_resemblance
3,171,8,target simple,2,because it is the same creature and and you can see his head,other_reason,visual_resemblance,other_reason,visual_resemblance,1,1,other_reason,visual_resemblance
3,176,26,target simple,2,it has a red hat facing the same direction,other_reason,visual_resemblance,other_reason,visual_resemblance,1,1,other_reason,visual_resemblance
4,207,59,target simple,1,Its round and the colour is nearest to clear,other_reason,preference,other_reason,salience,1,0,other_reason,visual_resemblance
1,26,8,target simple,2,Matches better to the previous participant than the red hat,other_reason,visual_resemblance,other_reason,visual_resemblance,1,1,other_reason,visual_resemblance
1,3,28,target simple,2,Wanted me to pick monster but without a hat. This is closest.,other_reason,visual_resemblance,other_reason,visual_resemblance,1,1,other_reason,visual_resemblance
1,36,30,target simple,1,"Whilst there was 2 options (and the previous participant had the chance to distinguish each image), this one had no hat which is more distinctive even if wearing a scarf",other_reason,salience,other_reason,visual resemblance,1,0,other_reason,visual_resemblance
1,4,42,target simple,2,Because it is a pink monster however it is not wearing a red hat,unclear,,other_reason,visual_resemblance,0,0,other_reason,visual_resemblance
2,63,27,target simple,2,hat position,other_reason,visual_resemblance,other_reason,visual_resemblance,1,1,other_reason,visual_resemblance
2,68,12,target simple,2,the scarf is the same,other_reason,visual_resemblance,unclear,,0,0,other_reason,visual_resemblance
2,73,17,target complex,1,you can see the robot's head better than in the middle image,other_reason,visual_resemblance,other_reason,visual_resemblance,1,1,other_reason,visual_resemblance
2,79,2,target complex,2,This is the only image with the exact same hat as the clue from the participant.,other_reason,visual_resemblance,other_reason,visual_resemblance,1,1,other_reason,visual_resemblance
2,79,30,target simple,1,It most closely resembles what the previous participant picked.,other_reason,visual_resemblance,other_reason,visual_resemblance,1,1,other_reason,visual_resemblance
2,85,17,target complex,1,Because it appears closest to the participant image.,other_reason,visual_resemblance,guess,,0,0,other_reason,visual_resemblance
2,87,42,target simple,1,Well because it seemed to be the one that matches with image on top and at the bottom images,unclear,,other_reason,visual_resemblance,0,0,other_reason,visual_resemblance
2,95,7,target complex,2,because it is the closest one the the one chosen by the last participant,other_reason,visual_resemblance,guess,,0,0,other_reason,visual_resemblance
2,95,42,target simple,1,this is the closest to the hint i have,unclear,,unclear,,1,1,other_reason,visual_resemblance
2,97,63,target complex,2,It is the closest to the message provided by participant,unclear,,other_reason,visual_resemblance,0,0,other_reason,visual_resemblance
2,98,12,target simple,2,same shape of scarf,other_reason,visual_resemblance,other_reason,visual_resemblance,1,1,other_reason,visual_resemblance
1,1,18,target simple,2,They couldnt select robot so picking blue hat suggested blue hat robot to me. If it was blue hat purple alien they would have purple alien.,correct_reasoning,,correct_reasoning,,1,1,correct_reasoning,
1,10,12,target simple,2,As before the prev participany did not say it was the green monster so assume this was because it was the robot,correct_reasoning,,correct_reasoning,,1,1,correct_reasoning,
2,101,18,target simple,2,"The scarf clue implies I should choose a picture with one. Because there are 2 things wearing the scarf, I opted for the one that was not on the messages. Because had the other participant intend for me to choose the robot, they would have given me the robot clue as it was available.",correct_reasoning,,correct_reasoning,,1,1,correct_reasoning,
2,105,51,target complex,2,"they said robots. there are two robots with one wearing a hat and one wearing a scarf. however, if it were the scarf they wouldve have chosen scarf. its likely that it was the hat as there are two creatures with a hat and so if they chose hat i would have thought it was the purple creature as there is no option for the previous participant to choose purple creature",correct_reasoning,,correct_reasoning,,1,1,correct_reasoning,
2,106,40,target simple,2,"I picked this image because they had the green monster, but not the purple one. Even though they're both wearing scarves only one can be represented with the scarf because they don't have an image to use below.",correct_reasoning,,correct_reasoning,,1,1,correct_reasoning,
2,107,49,target complex,2,If they picked red hat it could have been 2 options . If it was monster with scarf they should have picked scarf,correct_reasoning,,correct_reasoning,,1,1,correct_reasoning,
2,107,42,target simple,1,If it was the monster they could have picked scarf or monster and I would have known. If it was the robot with red had they could have picked red hat and known.,correct_reasoning,,correct_reasoning,,1,1,correct_reasoning,
2,109,18,target simple,1,"The creature is the only one not featured in the prechosen messages. Since there are two scarves in the photo, one on the robot and one on the purple monster, the right one must be the purple monster. If the right answer was the robot they would have chosen the robot because there is only one robot and it would have been easy to put the robot as the message",correct_reasoning,,correct_reasoning,,1,1,correct_reasoning,
2,112,15,target complex,2,As there are 2 green monsters and also 2 red hats. it would seem logical the participant is trying to signal the red hat on green monster,correct_reasoning,,correct_reasoning,,1,1,correct_reasoning,
2,112,40,target simple,1,if it were the green monster I believe they were trying to signal for the green one for the scarf. as there is a purple one it would seem this one would be the logical option as it is not on the list.,correct_reasoning,,correct_reasoning,,1,1,correct_reasoning,
2,114,17,target complex,1,if it was the other robot they would of chosen red hat,correct_reasoning,,correct_reasoning,,1,1,correct_reasoning,
2,114,12,target simple,2,if it was the other monster with the scarf they would of chosen the green monster picture,correct_reasoning,,correct_reasoning,,1,1,correct_reasoning,
2,116,36,target simple,1,there's two robots but if they wanted me to pick the first one i think they would've picked the red hat instead,correct_reasoning,,correct_reasoning,,1,1,correct_reasoning,
2,117,25,target complex,2,"because red hat would have worked for other robot, but scarf or just robot would leave two options open.",correct_reasoning,,correct_reasoning,,1,1,correct_reasoning,
2,117,8,target simple,1,Because they could've chosen red hat or the scarf to signify the other two images.,correct_reasoning,,correct_reasoning,,1,1,correct_reasoning,
2,118,25,target complex,1,"If the scarf, red hat, robot, and green monster were the only four things to choose from, then the robot would have been the one to choose if they wanted me to choose that picture because the alien has a scarf too, and if they wanted me to choose the robot with the red hat they would have chose the red hat.",correct_reasoning,,correct_reasoning,,1,1,correct_reasoning,
2,118,8,target simple,2,"The only hat they had as an option was the red one, so because they picked the robot instead of signifying that it was the robot with the red hat by picking the red hat, I picked the robot with the blue hat.",correct_reasoning,,correct_reasoning,,1,1,correct_reasoning,
1,12,25,target complex,2,because robo has blue cap too,correct_reasoning,,correct_reasoning,,1,1,correct_reasoning,
1,13,57,target complex,2,"I would assume the previous participant would send a blue had for the image on the right (purple monster + blue hat), a red hat for the image on the left (robot + red hat).  Since they didn't send a blue hat, and they sent an image of a purple monster, it must be the centre image.",correct_reasoning,,correct_reasoning,,1,1,correct_reasoning,
1,13,30,target simple,1,"There are two purple monsters.  If the previous participant wanted me to choose the one on the left, they could have communicated this clearly by sending a blue hat message.  Since they've sent an ambiguous message, I'm assuming that they couldn't use a message to narrow it down, meaning it must be the centre purple monster.",correct_reasoning,,correct_reasoning,,1,1,correct_reasoning,
1,14,28,target simple,1,Because a hat was not chosen,correct_reasoning,,correct_reasoning,,1,1,correct_reasoning,
3,142,2,target complex,1,"Red hat, common green creature",correct_reasoning,,correct_reasoning,,1,1,correct_reasoning,
3,147,15,target complex,1,would of put blue hat if if it was the middle one,correct_reasoning,,correct_reasoning,,1,1,correct_reasoning,
1,15,36,target simple,2,"because it is not wearing a hat.  if the person wanted me to choose the other purple guy, i think they wouldve chosen the red hat",correct_reasoning,,correct_reasoning,,1,1,correct_reasoning,
3,158,25,target complex,1,"Because he could have been referencing the blue hat, so he picked the creature instead. the one with the red hat could have just been a red hat to identify it",correct_reasoning,,correct_reasoning,,1,1,correct_reasoning,
1,16,2,target complex,1,I thought the participant before me chose this because otherwise they would have picked the pink monster.,correct_reasoning,,correct_reasoning,,1,1,correct_reasoning,
1,16,59,target simple,2,They didnt choose a blue hat to represent,correct_reasoning,,correct_reasoning,,1,1,correct_reasoning,
3,168,49,target complex,2,"I had to choose out of the two green monsters. If the participant wanted me to guess the blue hat green monster, I think they would have chosen blue hat as the clue because he is the only creature wearing a blue hat. So on that info, the red hat green monster seemed logical",correct_reasoning,,correct_reasoning,,1,1,correct_reasoning,
3,169,24,target complex,2,"if the previous participant wanted me to choose the green monster wearing the blue hat, they would've selected the green monster. so, I can tell that the purple monster is the right answer",correct_reasoning,,correct_reasoning,,1,1,correct_reasoning,
3,170,25,target complex,1,"If they had meant the purple guy in the middle, I assume they would have picked the red hat.",correct_reasoning,,correct_reasoning,,1,1,correct_reasoning,
4,178,27,target simple,2,square not a choice.,correct_reasoning,,correct_reasoning,,1,1,correct_reasoning,
4,179,2,target complex,1,"It is either the green circle or the green triangle. If it was the green circle, the prev. part. would have picked the circle as the message.",correct_reasoning,,correct_reasoning,,1,1,correct_reasoning,
4,179,36,target simple,2,"It is either the blue circle or the green circle. If it was the green circle, the prev. part. would have picked the green splash of paint as the clue.",correct_reasoning,,correct_reasoning,,1,1,correct_reasoning,
1,18,51,target complex,2,because for the other creature they could have chosen the blue cap and for the robot the red,correct_reasoning,,correct_reasoning,,1,1,correct_reasoning,
1,18,33,target simple,1,because they had the choice of the hats but didn't use them.,correct_reasoning,,correct_reasoning,,1,1,correct_reasoning,
4,180,43,target complex,2,"the other person would have chosen green for the 1st box or red for the 3rd red circle, leaving the circle to mean only the green one",correct_reasoning,,correct_reasoning,,1,1,correct_reasoning,
4,180,40,target simple,1,because the other person would have chosen the triangle for the first and the circle for the second. This leaves the red square,correct_reasoning,,correct_reasoning,,1,1,correct_reasoning,
4,181,33,target simple,1,I think they would have chosen the red paint if they wanted me to pick the red triangle.,correct_reasoning,,correct_reasoning,,1,1,correct_reasoning,
4,184,63,target complex,1,It had to be one of the triangles. It they wanted the green one they would have picked green as that distinguishes it from the other two items,correct_reasoning,,correct_reasoning,,1,1,correct_reasoning,
4,184,27,target simple,2,It had to be one of the green ones. If it had been the triangle they would have picked triangle,correct_reasoning,,correct_reasoning,,1,1,correct_reasoning,
4,185,63,target complex,1,he would have said green if it was the green triangle as it was the only green shape,correct_reasoning,,correct_reasoning,,1,1,correct_reasoning,
4,188,40,target simple,2,I chose the red square because there was no square available to the previous participant. Otherwise they would have chosen the triangle.,correct_reasoning,,correct_reasoning,,1,1,correct_reasoning,
4,189,5,target complex,1,"the only sensible option - they would have done triangle if they wanted the first, or circle if they wanted the middle",correct_reasoning,,correct_reasoning,,1,1,correct_reasoning,
4,189,40,target simple,2,"triangle would make be click on triangle
green would make me click on green
only square left",correct_reasoning,,correct_reasoning,,1,1,correct_reasoning,
1,19,36,target simple,2,Because it matches the body of the monster and doesn't have a red hat - I would have chosen the red hat if it had been the one on the right.,correct_reasoning,,other_reason,visual_resemblance,0,0,correct_reasoning,
4,193,5,target complex,1,Red was the clue given which applies to both the circle and the triangle. Had it been the triangle they wouldn't have needed to specify red as there's only one and saying triangle would have been enough. Therefore it's the red circle.,correct_reasoning,,correct_reasoning,,1,1,correct_reasoning,
4,193,8,target simple,2,"There are two circles and it could be either of those. However, the other circle is green and therefore clicking green paint splotch would provided a better clue. So it makes sense that they were trying to communicate that this was the blue circle, not the green one.",correct_reasoning,,correct_reasoning,,1,1,correct_reasoning,
4,194,15,target complex,2,Because if the triangle had been red the participant would have used the red paint indication,correct_reasoning,,correct_reasoning,,1,1,correct_reasoning,
4,194,33,target simple,1,Because if it had been the left triangle the participant would have used the red indication.,correct_reasoning,,correct_reasoning,,1,1,correct_reasoning,
4,195,5,target complex,1,"if they said circle it would mean blue or red, and triangle wasnt chosen which would of been obviously the red triangle. So it must be red circle",correct_reasoning,,correct_reasoning,,1,1,correct_reasoning,
4,195,36,target simple,2,"it could have been green colour or red, but neither used. insstead a circle and no colour so it must mean blue circle as that has no option for blue",correct_reasoning,,correct_reasoning,,1,1,correct_reasoning,
4,196,26,target simple,1,because they had the option to choose a triangle but didn't,correct_reasoning,,correct_reasoning,,1,1,correct_reasoning,
4,200,25,target complex,1,"If it was the green circle, they would have chosen green.",correct_reasoning,,correct_reasoning,,1,1,correct_reasoning,
4,200,27,target simple,2,"If it was the triangle, they would have chosen the triangle.",correct_reasoning,,correct_reasoning,,1,1,correct_reasoning,
4,203,59,target simple,2,"There is no blue option, so circle is the best description. If it was the red circle the previous participant could have chose red as the message",correct_reasoning,,correct_reasoning,,1,1,correct_reasoning,
4,204,24,target complex,2,"Because there are two red images and two circles. If the previous participant had wanted me to pick the triangle, they would have messaged triangle as there is only one triangle. If they had messaged circle I would not have known which circle they meant. And they couldn't message blue to me.",correct_reasoning,,correct_reasoning,,1,1,correct_reasoning,
4,204,26,target simple,1,"Because there are two green objects and only one of them is a triangle. If the previous participant had wanted me to pick a triangle, they would have picked the triangle message. Also, there is no square message they could have sent me.",correct_reasoning,,correct_reasoning,,1,1,correct_reasoning,
4,206,59,target simple,2,The blue isn't an option in the viable answers,correct_reasoning,,correct_reasoning,,1,1,correct_reasoning,
4,208,18,target simple,2,Because there is no square shape so saying they said red instead of circle,correct_reasoning,,correct_reasoning,,1,1,correct_reasoning,
4,209,63,target complex,2,"If it was the green triangle, would have expected to select colour green to differentiate",correct_reasoning,,correct_reasoning,,1,1,correct_reasoning,
4,209,18,target simple,1,"Because the square wasn't an option, if it was the circle then he would have selected the circle rather than colour red",correct_reasoning,,correct_reasoning,,1,1,correct_reasoning,
1,21,63,target complex,1,"Because one monster and robot have the same color hat, and the only image not shown to the other participant's choices is the robot, I thought the option I picked is the correct one.",correct_reasoning,,correct_reasoning,,1,1,correct_reasoning,
1,21,36,target simple,2,"If the actual option was the purple monster wearing the red hat, then the participant would have mentioned the red hat image since there are nor options for the scarf.",correct_reasoning,,correct_reasoning,,1,1,correct_reasoning,
4,210,7,target complex,2,They would have picked the green colour for the other triangle as it's the only shape with that colour.,correct_reasoning,,correct_reasoning,,1,1,correct_reasoning,
4,210,42,target simple,1,I choose this image because I think that it has to be the blue because they could have picked the green colour to indicate the other circle.,correct_reasoning,,correct_reasoning,,1,1,correct_reasoning,
4,212,2,target complex,2,"If it was the circle, they probably would have picked the circle.  Because they didn't, I can probably assume that it's the green triangle.",correct_reasoning,,correct_reasoning,,1,1,correct_reasoning,
4,212,12,target simple,1,"If it was the red triangle, they probably would have selected the triangle, because that would eliminate any other options.  Because they didn't, I can (hopefully) infer that it must be the square.",correct_reasoning,,correct_reasoning,,1,1,correct_reasoning,
4,213,57,target complex,2,becasue if it was the other circle they could have just said red,correct_reasoning,,correct_reasoning,,1,1,correct_reasoning,
