"participantid","itemid","itemtype","message","target","competitor","distractor","id","answer","presentation_order","answer_which","targetpos","answer_order","correct","trialid","strategy_seen","strategy_answer","strategy_answer_which","strategy_answer_order","strategy_correct","strategy_text","experiment"
1,28,"target simple","pm","pm_sc","pm_bh","gm_rh",1044075,"pm_sc","gm_rh,pm_sc,pm_bh","target",2,2,"True",23,NA,"","",NA,"","",1
1,29,"filler type a","bh","pm_bh","pm_sc","gm_rh",1044112,"pm_bh","gm_rh,pm_sc,pm_bh","target",3,3,"True",60,NA,"","",NA,"","",1
1,30,"target simple","pm","pm_sc","pm_bh","gm_rh",1044104,"pm_sc","pm_sc,pm_bh,gm_rh","target",1,1,"True",52,NA,"","",NA,"","",1
1,31,"filler ambiguous","pm","pm_rh","pm_rh","gm_bh",1044074,"pm_rh","pm_rh,gm_bh,pm_rh","target",3,3,"True",22,NA,"","",NA,"","",1
1,32,"filler type c","bh","pm_bh","pm_rh","ro_rh",1044083,"pm_bh","ro_rh,pm_rh,pm_bh","target",3,3,"True",31,NA,"","",NA,"","",1
1,33,"target simple","gm","gm_sc","gm_bh","pm_rh",1044057,"gm_sc","pm_rh,gm_bh,gm_sc","target",3,3,"True",5,NA,"","",NA,"","",1
1,34,"filler type b","bh","pm_bh","gm_rh","ro_rh",1044080,"pm_bh","gm_rh,ro_rh,pm_bh","target",3,3,"True",28,NA,"","",NA,"","",1
1,35,"filler ambiguous","bh","gm_bh","gm_bh","pm_rh",1044053,"gm_bh","pm_rh,gm_bh,gm_bh","target",3,3,"True",1,NA,"","",NA,"","",1
1,36,"target simple","pm","pm_sc","pm_rh","gm_bh",1044054,"pm_sc","gm_bh,pm_rh,pm_sc","target",3,3,"True",2,NA,"","",NA,"","",1
1,37,"filler unambiguous","rh","gm_rh","pm_sc","ro_bh",1044056,"gm_rh","gm_rh,pm_sc,ro_bh","target",1,1,"True",4,NA,"","",NA,"","",1
1,38,"filler type b","rh","pm_rh","ro_bh","gm_bh",1044078,"pm_rh","ro_bh,gm_bh,pm_rh","target",3,3,"True",26,NA,"","",NA,"","",1
1,39,"filler ambiguous","rh","pm_rh","pm_rh","gm_bh",1044086,"pm_rh","pm_rh,pm_rh,gm_bh","competitor",1,2,"False",34,NA,"","",NA,"","",1
1,40,"target simple","bh","ro_bh","gm_bh","pm_rh",1044061,"ro_bh","ro_bh,gm_bh,pm_rh","target",1,1,"True",9,NA,"","",NA,"","",1
1,41,"filler type a","gm","gm_bh","ro_bh","pm_rh",1044110,"gm_bh","ro_bh,gm_bh,pm_rh","target",2,2,"True",58,NA,"","",NA,"","",1
1,42,"target simple","pm","pm_sc","pm_rh","gm_bh",1044095,"pm_sc","pm_rh,pm_sc,gm_bh","target",2,2,"True",43,NA,"","",NA,"","",1
1,43,"target complex","pm","pm_rh","pm_bh","ro_rh",1044099,"pm_rh","ro_rh,pm_bh,pm_rh","target",3,3,"True",47,NA,"","",NA,"","",1
1,44,"filler type b","gm","gm_bh","pm_rh","pm_sc",1044071,"gm_bh","gm_bh,pm_sc,pm_rh","target",1,1,"True",19,NA,"","",NA,"","",1
1,45,"filler type b","pm","pm_rh","gm_bh","gm_sc",1044109,"pm_rh","pm_rh,gm_sc,gm_bh","target",1,1,"True",57,NA,"","",NA,"","",1
1,46,"filler unambiguous","bh","ro_bh","pm_sc","gm_rh",1044097,"ro_bh","gm_rh,pm_sc,ro_bh","target",3,3,"True",45,NA,"","",NA,"","",1
1,47,"filler type a","rh","pm_rh","pm_sc","gm_bh",1044090,"pm_rh","pm_sc,gm_bh,pm_rh","target",3,3,"True",38,NA,"","",NA,"","",1
1,48,"filler unambiguous","pm","pm_rh","ro_sc","gm_bh",1044072,"pm_rh","pm_rh,ro_sc,gm_bh","target",1,1,"True",20,NA,"","",NA,"","",1
1,49,"target complex","gm","gm_rh","gm_bh","ro_rh",1044103,"ro_rh","gm_rh,ro_rh,gm_bh","distractor",1,2,"False",51,NA,"","",NA,"","",1
1,50,"filler ambiguous","gm","gm_bh","gm_bh","pm_sc",1044113,"gm_bh","pm_sc,gm_bh,gm_bh","target",3,3,"True",61,NA,"","",NA,"","",1
1,51,"target complex","pm","pm_rh","pm_bh","ro_rh",1044092,"ro_rh","pm_rh,pm_bh,ro_rh","distractor",1,3,"False",40,NA,"","",NA,"","",1
1,52,"filler ambiguous","rh","pm_rh","pm_rh","gm_sc",1044063,"pm_rh","gm_sc,pm_rh,pm_rh","target",3,3,"True",11,NA,"","",NA,"","",1
1,53,"filler ambiguous","pm","pm_rh","pm_rh","gm_sc",1044117,"pm_rh","gm_sc,pm_rh,pm_rh","target",2,2,"True",65,NA,"","",NA,"","",1
1,54,"filler type c","bh","pm_bh","pm_rh","ro_rh",1044073,"pm_bh","pm_rh,pm_bh,ro_rh","target",2,2,"True",21,NA,"","",NA,"","",1
1,55,"filler type c","rh","gm_rh","gm_bh","ro_bh",1044062,"gm_rh","gm_bh,ro_bh,gm_rh","target",3,3,"True",10,NA,"","",NA,"","",1
1,56,"filler type b","gm","gm_rh","ro_bh","pm_bh",1044116,"gm_rh","gm_rh,pm_bh,ro_bh","target",1,1,"True",64,NA,"","",NA,"","",1
1,57,"target complex","pm","pm_rh","pm_bh","ro_rh",1044059,"ro_rh","pm_bh,ro_rh,pm_rh","distractor",3,2,"False",7,NA,"","",NA,"","",1
1,58,"filler ambiguous","rh","pm_rh","pm_rh","gm_sc",1044070,"pm_rh","pm_rh,pm_rh,gm_sc","target",2,2,"True",18,NA,"","",NA,"","",1
1,59,"target simple","pm","pm_sc","pm_bh","gm_rh",1044089,"pm_sc","pm_sc,pm_bh,gm_rh","target",1,1,"True",37,NA,"","",NA,"","",1
1,60,"filler type c","gm","gm_bh","pm_bh","pm_sc",1044098,"gm_bh","gm_bh,pm_bh,pm_sc","target",1,1,"True",46,NA,"","",NA,"","",1
1,61,"filler type c","pm","pm_rh","gm_rh","gm_sc",1044082,"pm_rh","gm_sc,gm_rh,pm_rh","target",3,3,"True",30,NA,"","",NA,"","",1
1,62,"filler type c","bh","pm_bh","pm_rh","ro_rh",1044091,"pm_bh","ro_rh,pm_bh,pm_rh","target",2,2,"True",39,NA,"","",NA,"","",1
1,63,"target complex","gm","gm_bh","gm_rh","ro_bh",1044087,"gm_bh","gm_rh,gm_bh,ro_bh","target",2,2,"True",35,NA,"","",NA,"","",1
1,64,"filler type a","gm","gm_rh","ro_rh","pm_bh",1044085,"gm_rh","gm_rh,ro_rh,pm_bh","target",1,1,"True",33,NA,"","",NA,"","",1
1,65,"filler type c","bh","gm_bh","gm_rh","ro_rh",1044064,"gm_bh","gm_rh,gm_bh,ro_rh","target",2,2,"True",12,NA,"","",NA,"","",1
1,66,"filler unambiguous","gm","gm_bh","ro_sc","pm_rh",1044096,"gm_bh","gm_bh,ro_sc,pm_rh","target",1,1,"True",44,NA,"","",NA,"","",1
2,1,"filler type b","rh","gm_rh","pm_sc","pm_bh",1045918,"gm_rh","pm_sc,gm_rh,pm_bh","target",2,2,"True",18,NA,"","",NA,"","",1
2,2,"target complex","rh","gm_rh","pm_rh","gm_sc",1045956,"pm_rh","gm_rh,gm_sc,pm_rh","competitor",1,3,"False",56,NA,"","",NA,"","",1
2,3,"filler ambiguous","rh","pm_rh","pm_rh","gm_bh",1045949,"pm_rh","pm_rh,pm_rh,gm_bh","target",2,2,"True",49,NA,"","",NA,"","",1
2,4,"filler type a","rh","pm_rh","pm_sc","gm_bh",1045916,"pm_rh","pm_sc,gm_bh,pm_rh","target",3,3,"True",16,NA,"","",NA,"","",1
2,5,"target complex","bh","pm_bh","gm_bh","pm_sc",1045927,"gm_bh","gm_bh,pm_sc,pm_bh","competitor",3,1,"False",27,2,"pm_bh","target",3,"True","Hes wearing the blue hat,so there's a 50% chance he's the one I should pick",1
2,6,"filler unambiguous","rh","pm_rh","gm_sc","ro_bh",1045952,"pm_rh","gm_sc,pm_rh,ro_bh","target",2,2,"True",52,NA,"","",NA,"","",1
2,7,"target complex","gm","gm_bh","gm_rh","ro_bh",1045937,"gm_rh","gm_bh,gm_rh,ro_bh","competitor",1,2,"False",37,NA,"","",NA,"","",1
2,8,"target simple","pm","pm_sc","pm_rh","gm_bh",1045901,"pm_sc","pm_rh,gm_bh,pm_sc","target",3,3,"True",1,NA,"","",NA,"","",1
2,9,"filler ambiguous","gm","gm_bh","gm_bh","pm_sc",1045922,"gm_bh","gm_bh,pm_sc,gm_bh","target",3,3,"True",22,NA,"","",NA,"","",1
2,10,"filler type c","rh","pm_rh","pm_bh","ro_bh",1045964,"pm_rh","pm_rh,pm_bh,ro_bh","target",1,1,"True",64,NA,"","",NA,"","",1
2,11,"filler type c","rh","gm_rh","gm_bh","ro_bh",1045903,"gm_rh","ro_bh,gm_bh,gm_rh","target",3,3,"True",3,NA,"","",NA,"","",1
2,12,"target simple","bh","ro_bh","gm_bh","pm_rh",1045924,"ro_bh","pm_rh,ro_bh,gm_bh","target",2,2,"True",24,NA,"","",NA,"","",1
2,13,"filler type a","bh","pm_bh","pm_sc","gm_rh",1045951,"pm_bh","pm_bh,gm_rh,pm_sc","target",1,1,"True",51,NA,"","",NA,"","",1
2,14,"filler unambiguous","rh","gm_rh","pm_bh","ro_sc",1045931,"gm_rh","ro_sc,pm_bh,gm_rh","target",3,3,"True",31,NA,"","",NA,"","",1
2,15,"target complex","gm","gm_rh","gm_bh","ro_rh",1045925,"gm_bh","gm_bh,ro_rh,gm_rh","competitor",3,1,"False",25,NA,"","",NA,"","",1
2,16,"filler type c","bh","gm_bh","gm_rh","ro_rh",1045942,"gm_bh","ro_rh,gm_bh,gm_rh","target",2,2,"True",42,NA,"","",NA,"","",1
2,17,"target complex","pm","pm_bh","pm_rh","ro_bh",1045961,"pm_bh","ro_bh,pm_bh,pm_rh","target",2,2,"True",61,NA,"","",NA,"","",1
2,18,"target simple","bh","ro_bh","pm_bh","gm_rh",1045944,"ro_bh","pm_bh,gm_rh,ro_bh","target",3,3,"True",44,NA,"","",NA,"","",1
2,19,"filler unambiguous","bh","ro_bh","gm_sc","pm_rh",1045941,"ro_bh","ro_bh,gm_sc,pm_rh","target",1,1,"True",41,NA,"","",NA,"","",1
2,20,"filler unambiguous","bh","ro_sc","gm_rh","pm_bh",1045905,"pm_bh","pm_bh,ro_sc,gm_rh","target",1,1,"True",5,NA,"","",NA,"","",1
2,21,"filler type c","gm","gm_bh","pm_bh","pm_sc",1045958,"gm_bh","pm_bh,pm_sc,gm_bh","target",3,3,"True",58,NA,"","",NA,"","",1
2,22,"filler type c","rh","pm_rh","pm_bh","ro_bh",1045962,"pm_rh","pm_rh,ro_bh,pm_bh","target",1,1,"True",62,NA,"","",NA,"","",1
2,23,"filler unambiguous","pm","pm_rh","gm_bh","ro_sc",1045929,"pm_rh","ro_sc,gm_bh,pm_rh","target",3,3,"True",29,NA,"","",NA,"","",1
2,24,"target complex","bh","pm_bh","gm_bh","pm_sc",1045933,"gm_bh","pm_bh,pm_sc,gm_bh","competitor",1,3,"False",33,NA,"","",NA,"","",1
2,25,"target complex","pm","pm_bh","pm_rh","ro_bh",1045955,"pm_bh","pm_bh,pm_rh,ro_bh","target",1,1,"True",55,NA,"","",NA,"","",1
2,26,"target simple","rh","ro_rh","gm_rh","pm_bh",1045928,"ro_rh","ro_rh,gm_rh,pm_bh","target",1,1,"True",28,NA,"","",NA,"","",1
2,27,"target simple","rh","ro_rh","gm_rh","pm_bh",1045909,"ro_rh","gm_rh,pm_bh,ro_rh","target",3,3,"True",9,NA,"","",NA,"","",1
2,28,"target simple","pm","pm_sc","pm_bh","gm_rh",1045945,"pm_sc","pm_bh,pm_sc,gm_rh","target",2,2,"True",45,NA,"","",NA,"","",1
2,29,"filler type a","bh","pm_bh","pm_sc","gm_rh",1045934,"pm_bh","pm_sc,pm_bh,gm_rh","target",2,2,"True",34,NA,"","",NA,"","",1
2,30,"target simple","pm","pm_sc","pm_bh","gm_rh",1045913,"pm_sc","pm_sc,pm_bh,gm_rh","target",1,1,"True",13,NA,"","",NA,"","",1
2,31,"filler ambiguous","pm","pm_rh","pm_rh","gm_bh",1045930,"pm_rh","pm_rh,pm_rh,gm_bh","target",2,2,"True",30,NA,"","",NA,"","",1
2,32,"filler type c","bh","pm_bh","pm_rh","ro_rh",1045932,"pm_bh","ro_rh,pm_bh,pm_rh","target",2,2,"True",32,NA,"","",NA,"","",1
2,33,"target simple","gm","gm_sc","gm_bh","pm_rh",1045923,"gm_sc","gm_bh,pm_rh,gm_sc","target",3,3,"True",23,NA,"","",NA,"","",1
2,34,"filler type b","bh","pm_bh","gm_rh","ro_rh",1045950,"pm_bh","pm_bh,gm_rh,ro_rh","target",1,1,"True",50,NA,"","",NA,"","",1
2,35,"filler ambiguous","bh","gm_bh","gm_bh","pm_rh",1045938,"gm_bh","gm_bh,gm_bh,pm_rh","target",2,2,"True",38,NA,"","",NA,"","",1
2,36,"target simple","pm","pm_sc","pm_rh","gm_bh",1045960,"pm_sc","gm_bh,pm_rh,pm_sc","target",3,3,"True",60,NA,"","",NA,"","",1
2,37,"filler unambiguous","rh","gm_rh","pm_sc","ro_bh",1045907,"gm_rh","ro_bh,gm_rh,pm_sc","target",2,2,"True",7,NA,"","",NA,"","",1
2,38,"filler type b","rh","pm_rh","ro_bh","gm_bh",1045926,"pm_rh","pm_rh,ro_bh,gm_bh","target",1,1,"True",26,NA,"","",NA,"","",1
2,39,"filler ambiguous","rh","pm_rh","pm_rh","gm_bh",1045943,"pm_rh","pm_rh,pm_rh,gm_bh","target",2,2,"True",43,NA,"","",NA,"","",1
2,40,"target simple","bh","ro_bh","gm_bh","pm_rh",1045919,"ro_bh","pm_rh,ro_bh,gm_bh","target",2,2,"True",19,NA,"","",NA,"","",1
2,41,"filler type a","gm","gm_bh","ro_bh","pm_rh",1045921,"gm_bh","pm_rh,ro_bh,gm_bh","target",3,3,"True",21,NA,"","",NA,"","",1
2,42,"target simple","pm","pm_sc","pm_rh","gm_bh",1045957,"pm_rh","gm_bh,pm_sc,pm_rh","competitor",2,3,"False",57,NA,"","",NA,"","",1
2,43,"target complex","pm","pm_rh","pm_bh","ro_rh",1045965,"pm_rh","pm_bh,pm_rh,ro_rh","target",2,2,"True",65,NA,"","",NA,"","",1
2,44,"filler type b","gm","gm_bh","pm_rh","pm_sc",1045915,"gm_bh","gm_bh,pm_rh,pm_sc","target",1,1,"True",15,NA,"","",NA,"","",1
2,45,"filler type b","pm","pm_rh","gm_bh","gm_sc",1045953,"pm_rh","pm_rh,gm_bh,gm_sc","target",1,1,"True",53,NA,"","",NA,"","",1
2,46,"filler unambiguous","bh","ro_bh","pm_sc","gm_rh",1045966,"ro_bh","gm_rh,pm_sc,ro_bh","target",3,3,"True",66,NA,"","",NA,"","",1
2,47,"filler type a","rh","pm_rh","pm_sc","gm_bh",1045939,"pm_rh","pm_rh,pm_sc,gm_bh","target",1,1,"True",39,NA,"","",NA,"","",1
2,48,"filler unambiguous","pm","pm_rh","ro_sc","gm_bh",1045935,"pm_rh","pm_rh,gm_bh,ro_sc","target",1,1,"True",35,NA,"","",NA,"","",1
2,49,"target complex","gm","gm_rh","gm_bh","ro_rh",1045940,"gm_bh","ro_rh,gm_rh,gm_bh","competitor",2,3,"False",40,NA,"","",NA,"","",1
2,50,"filler ambiguous","gm","gm_bh","gm_bh","pm_sc",1045904,"gm_bh","gm_bh,pm_sc,gm_bh","competitor",1,3,"False",4,NA,"","",NA,"","",1
2,51,"target complex","pm","pm_rh","pm_bh","ro_rh",1045948,"pm_bh","pm_rh,pm_bh,ro_rh","competitor",1,2,"False",48,NA,"","",NA,"","",1
2,52,"filler ambiguous","rh","pm_rh","pm_rh","gm_sc",1045908,"pm_rh","gm_sc,pm_rh,pm_rh","target",2,2,"True",8,NA,"","",NA,"","",1
2,53,"filler ambiguous","pm","pm_rh","pm_rh","gm_sc",1045914,"pm_rh","pm_rh,gm_sc,pm_rh","target",1,1,"True",14,NA,"","",NA,"","",1
2,54,"filler type c","bh","pm_bh","pm_rh","ro_rh",1045912,"pm_bh","pm_bh,pm_rh,ro_rh","target",1,1,"True",12,NA,"","",NA,"","",1
2,55,"filler type c","rh","gm_rh","gm_bh","ro_bh",1045920,"gm_rh","gm_rh,ro_bh,gm_bh","target",1,1,"True",20,NA,"","",NA,"","",1
2,56,"filler type b","gm","gm_rh","ro_bh","pm_bh",1045954,"gm_rh","ro_bh,pm_bh,gm_rh","target",3,3,"True",54,NA,"","",NA,"","",1
2,57,"target complex","pm","pm_rh","pm_bh","ro_rh",1045947,"pm_rh","ro_rh,pm_bh,pm_rh","target",3,3,"True",47,NA,"","",NA,"","",1
2,58,"filler ambiguous","rh","pm_rh","pm_rh","gm_sc",1045963,"pm_rh","gm_sc,pm_rh,pm_rh","target",2,2,"True",63,NA,"","",NA,"","",1
2,59,"target simple","pm","pm_sc","pm_bh","gm_rh",1045906,"pm_sc","pm_bh,pm_sc,gm_rh","target",2,2,"True",6,1,"pm_bh","competitor",1,"False","Its the same creature from above. Maybe I should have picked the one with the scarf though,",1
2,60,"filler type c","gm","gm_bh","pm_bh","pm_sc",1045910,"gm_bh","pm_bh,pm_sc,gm_bh","target",3,3,"True",10,NA,"","",NA,"","",1
2,61,"filler type c","pm","pm_rh","gm_rh","gm_sc",1045946,"pm_rh","pm_rh,gm_rh,gm_sc","target",1,1,"True",46,NA,"","",NA,"","",1
2,62,"filler type c","bh","pm_bh","pm_rh","ro_rh",1045959,"pm_bh","ro_rh,pm_rh,pm_bh","target",3,3,"True",59,NA,"","",NA,"","",1
2,63,"target complex","gm","gm_bh","gm_rh","ro_bh",1045902,"gm_bh","ro_bh,gm_rh,gm_bh","target",3,3,"True",2,NA,"","",NA,"","",1
2,64,"filler type a","gm","gm_rh","ro_rh","pm_bh",1045917,"gm_rh","gm_rh,pm_bh,ro_rh","target",1,1,"True",17,NA,"","",NA,"","",1
2,65,"filler type c","bh","gm_bh","gm_rh","ro_rh",1045911,"gm_bh","gm_bh,ro_rh,gm_rh","target",1,1,"True",11,NA,"","",NA,"","",1
2,66,"filler unambiguous","gm","gm_bh","ro_sc","pm_rh",1045936,"gm_bh","pm_rh,ro_sc,gm_bh","target",3,3,"True",36,NA,"","",NA,"","",1
3,1,"filler type b","rh","gm_rh","pm_sc","pm_bh",1045032,"gm_rh","gm_rh,pm_sc,pm_bh","target",1,1,"True",56,NA,"","",NA,"","",1
3,2,"target complex","rh","gm_rh","pm_rh","gm_sc",1045004,"gm_rh","pm_rh,gm_sc,gm_rh","target",3,3,"True",28,NA,"","",NA,"","",1
3,3,"filler ambiguous","rh","pm_rh","pm_rh","gm_bh",1044992,"pm_rh","gm_bh,pm_rh,pm_rh","competitor",3,2,"False",16,NA,"","",NA,"","",1
3,4,"filler type a","rh","pm_rh","pm_sc","gm_bh",1045006,"pm_rh","pm_sc,gm_bh,pm_rh","target",3,3,"True",30,NA,"","",NA,"","",1
3,5,"target complex","bh","pm_bh","gm_bh","pm_sc",1045024,"pm_bh","pm_bh,pm_sc,gm_bh","target",1,1,"True",48,NA,"","",NA,"","",1
3,6,"filler unambiguous","rh","pm_rh","gm_sc","ro_bh",1044980,"pm_rh","gm_sc,pm_rh,ro_bh","target",2,2,"True",4,NA,"","",NA,"","",1
3,7,"target complex","gm","gm_bh","gm_rh","ro_bh",1045041,"gm_bh","ro_bh,gm_rh,gm_bh","target",3,3,"True",65,NA,"","",NA,"","",1
3,8,"target simple","pm","pm_sc","pm_rh","gm_bh",1045008,"pm_sc","pm_sc,pm_rh,gm_bh","target",1,1,"True",32,NA,"","",NA,"","",1
3,9,"filler ambiguous","gm","gm_bh","gm_bh","pm_sc",1044997,"gm_bh","gm_bh,pm_sc,gm_bh","target",1,1,"True",21,NA,"","",NA,"","",1
3,10,"filler type c","rh","pm_rh","pm_bh","ro_bh",1044987,"pm_rh","ro_bh,pm_bh,pm_rh","target",3,3,"True",11,NA,"","",NA,"","",1
3,11,"filler type c","rh","gm_rh","gm_bh","ro_bh",1045003,"gm_rh","gm_rh,ro_bh,gm_bh","target",1,1,"True",27,NA,"","",NA,"","",1
3,12,"target simple","bh","ro_bh","gm_bh","pm_rh",1045029,"ro_bh","gm_bh,ro_bh,pm_rh","target",2,2,"True",53,NA,"","",NA,"","",1
3,13,"filler type a","bh","pm_bh","pm_sc","gm_rh",1045018,"pm_bh","gm_rh,pm_sc,pm_bh","target",3,3,"True",42,NA,"","",NA,"","",1
3,14,"filler unambiguous","rh","gm_rh","pm_bh","ro_sc",1045022,"gm_rh","pm_bh,gm_rh,ro_sc","target",2,2,"True",46,NA,"","",NA,"","",1
3,15,"target complex","gm","gm_rh","gm_bh","ro_rh",1045040,"gm_rh","gm_rh,ro_rh,gm_bh","target",1,1,"True",64,NA,"","",NA,"","",1
3,16,"filler type c","bh","gm_bh","gm_rh","ro_rh",1045010,"gm_bh","gm_rh,ro_rh,gm_bh","target",3,3,"True",34,NA,"","",NA,"","",1
3,17,"target complex","pm","pm_bh","pm_rh","ro_bh",1045033,"pm_bh","ro_bh,pm_rh,pm_bh","target",3,3,"True",57,1,"pm_bh","target",3,"True","The person couldn't pick blue as that may have led me to the robot with blue hat, so it must be monster with blue hat.",1
3,18,"target simple","bh","ro_bh","pm_bh","gm_rh",1044989,"ro_bh","pm_bh,ro_bh,gm_rh","target",2,2,"True",13,NA,"","",NA,"","",1
3,19,"filler unambiguous","bh","ro_bh","gm_sc","pm_rh",1045027,"ro_bh","pm_rh,ro_bh,gm_sc","target",2,2,"True",51,NA,"","",NA,"","",1
3,20,"filler unambiguous","bh","ro_sc","gm_rh","pm_bh",1045021,"pm_bh","pm_bh,gm_rh,ro_sc","target",1,1,"True",45,NA,"","",NA,"","",1
3,21,"filler type c","gm","gm_bh","pm_bh","pm_sc",1045025,"gm_bh","pm_sc,pm_bh,gm_bh","target",3,3,"True",49,NA,"","",NA,"","",1
3,22,"filler type c","rh","pm_rh","pm_bh","ro_bh",1045037,"pm_rh","ro_bh,pm_bh,pm_rh","target",3,3,"True",61,NA,"","",NA,"","",1
3,23,"filler unambiguous","pm","pm_rh","gm_bh","ro_sc",1045034,"pm_rh","gm_bh,pm_rh,ro_sc","target",2,2,"True",58,NA,"","",NA,"","",1
3,24,"target complex","bh","pm_bh","gm_bh","pm_sc",1045005,"pm_bh","gm_bh,pm_sc,pm_bh","target",3,3,"True",29,NA,"","",NA,"","",1
3,25,"target complex","pm","pm_bh","pm_rh","ro_bh",1045035,"pm_rh","ro_bh,pm_rh,pm_bh","competitor",3,2,"False",59,NA,"","",NA,"","",1
3,26,"target simple","rh","ro_rh","gm_rh","pm_bh",1045000,"ro_rh","ro_rh,pm_bh,gm_rh","target",1,1,"True",24,NA,"","",NA,"","",1
